region,ISO3,date,ais_portcalls_container,ais_portcalls_general_cargo,ais_portcalls_dry_bulk,ais_portcalls_roro,ais_portcalls_tanker,ais_import_tanker,ais_export_tanker,ais_import_dry_bulk,ais_export_dry_bulk,ais_import_container,ais_export_container,ais_import_general_cargo,ais_export_general_cargo,ais_import_roro,ais_export_roro,value_import_total,value_export_total,volume_export_total,volume_import_total,trade_value,trade_volume,ObjectId
China,CHN,2022/11/01,6350,2305,5869,427,5568,51965263.5494725,21191027.7701933,187829923.271586,60816193.2070427,76908841.1635244,107583675.35803,3745285.50385814,3150895.42629573,211552.783570227,467299.253867202,133.119758367522,126.567646493913,110.961933497396,109.28717641287,128.817860859109,110.124554955133,2964
China,CHN,2024/09/01,6162,2242,5752,419,5113,43535863.7252371,15888689.8964735,179929049.14141,58359009.3309274,85749312.0835018,123669813.963562,3508729.01999237,3641354.10905836,161090.0902689,458126.305554268,129.36732983891,137.603075768634,125.313284688946,115.918866499237,134.774645156236,120.616075594092,2968
China,CHN,2024/10/01,6893,2395,6191,450,5480,44766870.6738677,18580968.1144079,199262486.06632,61747335.9468774,83766226.4971821,123025275.789009,3791512.30613751,3753371.11460469,168379.80975249,430279.920721179,129.737477086292,137.488081560038,125.455835171864,115.96828659392,134.826264750098,120.712060882892,2975
China,CHN,2024/11/01,6791,2406,6098,430,5278,39539373.9569923,18938762.012727,194889253.57856,65190076.2004958,84412820.9444121,121033216.941875,3700036.15916301,3539180.48758775,161367.991753792,362285.19875464,127.578950610006,134.490574456632,123.643693535742,115.08091291943,132.116891655342,119.362303227586,2979
China,CHN,2024/12/01,7257,2553,6558,457,5546,42360115.7178993,16883952.3899028,206985728.134679,71698828.5099161,79400884.8139896,120008988.582605,4060711.21598938,3708317.45120056,167215.099824721,460931.697904587,123.505425221231,133.453818268465,123.07192273662,111.879833807749,130.037207353185,117.475878272184,2985
China,CHN,2025/01/01,7000,2293,6041,455,5414,39184153.7676058,18359328.2071892,186481432.686895,62083813.8604401,88621991.013872,132213434.699045,3630867.29971424,3410847.38288904,168466.578101699,442261.758135862,132.32461082939,145.994347141811,133.661918013959,118.505273338854,141.299702481888,126.083595676407,2991
China,CHN,2025/02/01,5797,1961,4857,346,4754,34337284.9132028,14866806.9946307,146879370.807733,52432498.3396725,76868072.3184153,104007195.246253,3362707.10689622,2940105.30139341,153594.068192766,366458.833665104,113.972828369221,115.988686010323,105.725059910863,101.900841936023,115.29637307219,103.812950923443,2997
China,CHN,2025/03/01,7090,2385,5725,455,5400,42294994.8293066,17894054.4685371,172711325.334117,58852957.9047643,89751907.0647468,127323292.899825,3656102.05289596,3618752.82044461,163992.84615662,467524.982033163,132.611687738201,141.412134307293,129.046711794071,119.240688045156,138.389766607852,124.143699919614,3005
China,CHN,2025/04/01,6800,2468,5936,431,5167,41528207.3770939,15311212.8740754,181584650.628844,58993341.5409509,89161314.2281558,128891908.475247,3736689.60850128,3762534.9516808,182192.955536825,471771.041033872,131.716724814415,142.602455038298,130.281496174985,119.273120634969,138.863931185538,124.777308404977,3010
China,CHN,2025/05/01,7094,2429,6093,498,5450,44378497.4526267,16335225.7353575,192376787.584463,58792927.5341567,93495328.5997184,135336433.619673,3899347.91688411,3724034.67908792,180993.436627835,572673.560991182,138.171979802037,149.386349195363,136.478291675723,125.34914864102,145.534959659857,130.913720158371,3016
