date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/04/05 00:00:00+00,2019,4,5,chokepoint1,Suez Canal,21,15,2,5,19,43,62,1544621.85928561,937270.544410963,9376.19755698226,15927.3727499748,1031699.09278834,2507195.97400353,3538895.06679187,95
2019/04/06 00:00:00+00,2019,4,6,chokepoint1,Suez Canal,14,10,3,4,15,31,46,949753.996966042,664892.019714855,9483.46904182861,11435.2408571673,978541.487508416,1635564.72657989,2614106.21408831,96
2019/04/07 00:00:00+00,2019,4,7,chokepoint1,Suez Canal,12,7,2,6,14,27,41,652737.855729922,356775.119299739,4743.69373409529,31876.5912187902,964116.58680859,1046133.25998255,2010249.84679114,97
2019/04/08 00:00:00+00,2019,4,8,chokepoint1,Suez Canal,16,19,8,2,18,45,63,835678.93145876,723869.039163713,23497.952938576,2522.28963064718,1003982.14025104,1585568.2131917,2589550.35344274,98
2019/04/09 00:00:00+00,2019,4,9,chokepoint1,Suez Canal,22,14,4,3,20,43,63,1429513.85321556,660280.445273175,10764.2353185899,2786.85246331037,1152390.65722536,2103345.38627064,3255736.043496,99
2019/04/10 00:00:00+00,2019,4,10,chokepoint1,Suez Canal,22,5,4,2,12,33,45,1458357.78168835,220005.803763354,25447.1371204871,4156.4209575,440073.206634492,1707967.1435297,2148040.35016419,100
2019/04/11 00:00:00+00,2019,4,11,chokepoint1,Suez Canal,16,12,9,5,16,42,58,787494.801000976,605633.722031443,35692.5917692916,9853.21028547616,946334.604392752,1438674.32508719,2385008.92947994,101
2019/04/12 00:00:00+00,2019,4,12,chokepoint1,Suez Canal,19,8,4,1,10,32,42,1371453.84941187,574451.829161814,7552.58949564816,5712.04743529733,937495.505198522,1959170.31550463,2896665.82070315,102
2019/04/13 00:00:00+00,2019,4,13,chokepoint1,Suez Canal,14,8,3,4,13,29,42,1002017.43676349,246800.854903665,17028.6540358665,34834.2557763317,566488.443685671,1300681.20147935,1867169.64516502,103
2019/04/14 00:00:00+00,2019,4,14,chokepoint1,Suez Canal,18,12,1,2,17,33,50,1079002.00776233,518079.655796496,0,13618.513167501,1179955.29418436,1610700.17672633,2790655.47091068,104
2019/04/15 00:00:00+00,2019,4,15,chokepoint1,Suez Canal,16,14,5,2,13,37,50,767412.718286511,716629.843980348,18351.2974171126,9505.54817555354,546935.423113745,1511899.40785953,2058834.83097327,105
2019/04/16 00:00:00+00,2019,4,16,chokepoint1,Suez Canal,16,16,7,5,14,44,58,910377.549676276,474406.043740808,31690.468966379,25942.2909911504,778311.17873192,1442416.35337461,2220727.53210653,106
2019/04/17 00:00:00+00,2019,4,17,chokepoint1,Suez Canal,24,8,5,3,14,40,54,1794016.65191746,487474.013274837,49514.2471863451,14322.036163363,1235458.70231221,2345326.948542,3580785.65085421,107
2019/04/18 00:00:00+00,2019,4,18,chokepoint1,Suez Canal,11,15,4,2,21,32,53,616796.321098981,890631.541143459,8661.83880150173,2791.85245222737,1048760.470377,1518881.55349617,2567642.02387317,108
2019/04/19 00:00:00+00,2019,4,19,chokepoint1,Suez Canal,20,7,6,7,13,40,53,1430998.18813253,493351.277066683,51910.6986708916,22552.655397541,835246.160511506,1998812.81926764,2834058.97977915,109
2019/04/20 00:00:00+00,2019,4,20,chokepoint1,Suez Canal,13,4,2,3,9,22,31,782274.044404003,226372.739965186,2256.92488511387,10258.8104729208,589398.9423359,1021162.51972722,1610561.46206312,110
2019/04/21 00:00:00+00,2019,4,21,chokepoint1,Suez Canal,18,7,6,3,14,34,48,1095624.96230864,282062.228664747,19583.1241307544,14937.724802847,676727.608508472,1412208.03990699,2088935.64841547,111
2019/04/22 00:00:00+00,2019,4,22,chokepoint1,Suez Canal,17,18,3,2,21,40,61,767082.71645236,721061.886250433,9459.90445955957,13353.1585040041,1494564.62413148,1510957.66566636,3005522.28979784,112
2019/04/23 00:00:00+00,2019,4,23,chokepoint1,Suez Canal,16,9,11,1,23,37,60,901033.575806363,344182.409565547,51694.5368948846,3706.7726990874,1216960.11050784,1300617.29496588,2517577.40547372,113
2019/04/24 00:00:00+00,2019,4,24,chokepoint1,Suez Canal,26,7,7,1,11,41,52,1643895.01497874,402651.085561917,15660.9140864018,3946.4762628518,377373.413666405,2066153.49088992,2443526.90455632,114
2019/04/25 00:00:00+00,2019,4,25,chokepoint1,Suez Canal,20,7,3,4,9,34,43,1274511.42920649,533762.408288312,3700.80895425859,12564.5748091452,269254.444848913,1824539.22125821,2093793.66610712,115
2019/04/26 00:00:00+00,2019,4,26,chokepoint1,Suez Canal,14,4,5,2,22,25,47,1022861.84972455,159103.45848297,7399.58426663869,10316.6401679827,989620.233751686,1199681.53264214,2189301.76639382,116
2019/04/27 00:00:00+00,2019,4,27,chokepoint1,Suez Canal,18,17,6,3,14,44,58,1048457.8008662,1117277.82309767,27153.9677892779,10123.8620140233,884305.112032414,2203013.45376717,3087318.56579958,117
